ProjectName,PanTyp,PanCosInf,PanFlrPri,InvLif,PrjLif,ModSta,PrjTyp,PrjLoc,OprCosInf,InvCosInf,OprCos,RenCos,RenInf,TimStp,Tech,Burn-inPeakSunHours,Life
0,1,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,2,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,3,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,4,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,5,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,6,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,7,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,8,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,9,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,10,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,11,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,12,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,13,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,14,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,15,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,16,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,17,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,18,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,19,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,20,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,21,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,22,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,23,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,24,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,25,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,26,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,27,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,28,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,29,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,30,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,31,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,32,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,33,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,34,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,35,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,36,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
0,37,-1,0.245,10,20,01/05/2019,GroundmountPVArray,ukavg,1.6,2.1,0.01,0.5,2.1,month,NoEnhancment,500,25
